date,predicted_mosquito_density
2024-09-05,0.5978397670215613
2024-09-06,1.0233964713770216
2024-09-07,0.7074724186134544
2024-09-08,0.512918999222596
2024-09-09,0.5748709461090548
2024-09-10,0.6747171945571924
2024-09-11,0.6974879097919344
2024-09-12,0.9586315953490647
2024-09-13,0.8571095921528409
2024-09-14,0.28286855018887913
2024-09-15,0.19109982738019188
2024-09-16,0.2161915422797212
2024-09-17,0.37054198485944934
2024-09-18,0.4340520150577663
2024-09-19,1.0846108835273751
2024-09-20,1.315952904463058
2024-09-21,0.6517831821765673
2024-09-22,0.7349843587711715
2024-09-23,0.6598140292874314
2024-09-24,0.9960138537113445
2024-09-25,0.9570569945209635
2024-09-26,1.2712186668605638
2024-09-27,1.0526447482923873
2024-09-28,0.6990709591907509
2024-09-29,0.7680550532120478
2024-09-30,0.8407193689172977
2024-10-01,1.0273103204258283
2024-10-02,1.1579594880256432
2024-10-03,1.6432381084288545
2024-10-04,1.1517359093531374
2024-10-05,0.08219108812315085
2024-10-06,0.20827381926184255
2024-10-07,0.30596008708602346
2024-10-08,0.5526566017885176
2024-10-09,0.4712423329470078
2024-10-10,1.2483985152434844
2024-10-11,1.6834897542755722
2024-10-12,1.4688052215606622
2024-10-13,1.4277288442762088
2024-10-14,1.4487822400470451
2024-10-15,1.7542916380413485
2024-10-16,2.0973291126971945
2024-10-17,2.2707272767150544
2024-10-18,1.969643603060683
2024-10-19,1.1415973645798783
2024-10-20,1.1434225667780884
2024-10-21,1.1804657607239042
2024-10-22,1.8188833148202066
2024-10-23,1.5787089616727936
2024-10-24,1.9981780859386828
2024-10-25,2.2859453209239
2024-10-26,1.7501336187275385
2024-10-27,1.8793538245264716
2024-10-28,1.7793126113167126
2024-10-29,2.2537277715208037
2024-10-30,2.5732018176188474
2024-10-31,2.61652544095665
